Brand,Description,link,pricewas,pricenow
APPLE,IPAD MINI 5 WI-FI + CELLULAR 256GB SPACE GREY MUXC2X/A,https://www.davidjones.com/brand/apple/22662091/iPad-Mini-5--Wi-Fi-+-Cellular-256GB-Space-Grey-MUXC2X%7CA.html,"$1,019.00","$1,019.00"
APPLE,IPAD MINI 5 WI-FI + CELLULAR 256GB GOLD MUXE2X/A,https://www.davidjones.com/brand/apple/22662093/iPad-Mini-5--Wi-Fi-+-Cellular-256GB-Gold-MUXE2X%7CA.html,"$1,019.00","$1,019.00"
APPLE,IPAD MINI 5 WI-FI + CELLULAR 256GB SILVER MUXD2X/A,https://www.davidjones.com/brand/apple/22662092/iPad-Mini-5--Wi-Fi-+-Cellular-256GB-Silver-MUXD2X%7CA.html,"$1,019.00","$1,019.00"
APPLE,IPAD MINI 5 WI-FI + CELLULAR 64GB GOLD MUX72X/A,https://www.davidjones.com/brand/apple/22662090/iPad-Mini-5--Wi-Fi-+-Cellular-64GB-Gold-MUX72X%7CA.html,$799.00,$799.00
APPLE,IPAD MINI 5 WI-FI + CELLULAR 64GB SILVER MUX62X/A,https://www.davidjones.com/brand/apple/22662089/iPad-Mini-5--Wi-Fi-+-Cellular-64GB-Silver-MUX62X%7CA.html,$799.00,$799.00
APPLE,IPAD MINI 5 WI-FI 256GB GOLD MUU62X/A,https://www.davidjones.com/brand/apple/22662087/iPad-Mini-5--Wi-Fi-256GB-Gold-MUU62X%7CA.html,$819.00,$819.00
APPLE,WATCH S4 GPS + CELL 44MM - S/STEEL CASE W/WHITE S/BAND,https://www.davidjones.com/brand/apple/22210821/WATCH-S4-GPS-+-CELL-44MM---S%7CSTEEL-CASE-W%7CWHITE-S%7CBAND.html,"RRP
$997.00","OUR PRICE
$897.00"
APPLE,IPHONE 11 128GB - YELLOW - MWM42X/A,https://www.davidjones.com/brand/apple/23016120/iPhone-11-128GB---Yellow---MWM42X%7CA.html,"$1,279.00","$1,279.00"
APPLE,IPHONE 11 256GB - RED - MWM92X/A,https://www.davidjones.com/brand/apple/23016125/iPhone-11-256GB---Red---MWM92X%7CA.html,"$1,449.00","$1,449.00"
APPLE,IPHONE 11 256GB - PURPLE - MWMC2X/A,https://www.davidjones.com/brand/apple/23016127/iPhone-11-256GB---Purple---MWMC2X%7CA.html,"$1,449.00","$1,449.00"
